Product Id,Product Name,Price,Link of the product,Color,Scraped Image Link
248433,Momo Accent Chair,$999,https://www.crateandbarrel.com//momo-accent-chair/s248433,"['Faux Shearling Beige', 'Faux Shearling Cloud', 'Faux Shearling Charcoal']",https://cb.scene7.com/is/image/Crate/MomoAccentChair3QSSS23/raw/230626151333/momo-accent-chair.jpg
271665,Valen Swivel Accent Chair,$1299,https://www.crateandbarrel.com//valen-swivel-accent-chair/s271665,"['Covet Taupe', 'Alpine Ivory', 'Alpine Beige', 'Alpine Onyx', 'Alpine Grey']",https://cb.scene7.com/is/image/Crate/ValenAccentChairCvTaupe3QSSS23/raw/221130112345/valen-swivel-accent-chair.jpg
249317,Alva Wingback Accent Chair,$1299,https://www.crateandbarrel.com//alva-wingback-accent-chair/s249317,"['Covet Camel', 'Covet Crème', 'Covet Olive', 'Covet Heather']",https://cb.scene7.com/is/image/Crate/AlvaAccentChairCml3QSSS23/raw/230731104238/alva-wingback-accent-chair.jpg
409202,Wythe Oversized Leather Chair,$2299,https://www.crateandbarrel.com//wythe-oversized-leather-chair/s409202,"['Montura Honey', 'Montura Bisque', 'Montura Olivia', 'Montura Smoke', 'Montura Fossil']",https://cb.scene7.com/is/image/Crate/WytheLthChairHny3QSSF23/raw/230612125515/wythe-leather-chair.jpg
408364,Wells Renew Vegan Leather Chair,$1799,https://www.crateandbarrel.com//wells-renew-vegan-leather-chair/s408364,"['Renew Vegan Leather Camel', 'Renew Vegan Leather Iron', 'Renew Vegan Leather Shrub', 'Renew Vegan Leather Carbon']",https://cb.scene7.com/is/image/Crate/WellsVLChairCml3QSSF23_3D/raw/230817095415/wells-vegan-silicone-leather-chair.jpg
458088,Fields Cane Back White Wash Accent Chair by Leanne Ford,$999,https://www.crateandbarrel.com//fields-cane-back-white-wash-accent-chair-by-leanne-ford/s458088,"['Whitewash and White', 'Natural and White', 'Dark Brown and Charcoal', 'Dark Brown and White', 'Whitewash and Natural']",https://cb.scene7.com/is/image/Crate/FieldsWhtwshWhtChr3QSSF21/raw/220330135426/fields-cane-back-white-wash-accent-chair-by-leanne-ford.jpg
429545,Oceanside Leather Wide-Arm Swivel Chair,$2199,https://www.crateandbarrel.com//oceanside-leather-wide-arm-swivel-chair/s429545,"['Arroyo Stone', 'Arroyo Shadow', 'Arroyo Sand', 'Arroyo Cognac']",https://cb.scene7.com/is/image/Crate/OceansideLthSwvlChrStn3QSSF23/raw/230620152340/oceanside-leather-deep-seat-swivel-chair.jpg
451815,Drew Small Swivel Accent Chair,$1099,https://www.crateandbarrel.com//drew-small-swivel-accent-chair/s451815,"['Bliss Dove', 'Hughes Grigio/View Brandy', 'Hughes Steele/View Navy', 'Bliss Cloud', 'Bliss Natural']",https://cb.scene7.com/is/image/Crate/DrewSwivelChairSmlBD3QSSS22_3D/raw/211004154300/drew-small-swivel-chair.jpg
248781,Barrett II Leather Track Arm Swivel Chair,$2199,https://www.crateandbarrel.com//barrett-ii-leather-track-arm-swivel-chair/s248781,"['Butler Ale', 'Butler Khaki', 'Butler Hickory', 'Butler Umber', 'Butler Lead']",https://cb.scene7.com/is/image/Crate/BarrettIILthrSwvlChair3QSSF22/raw/230224145600/barrett-ii-leather-track-arm-swivel-chair.jpg
168598,Axis Classic Swivel Chair,$1099,https://www.crateandbarrel.com//axis-classic-swivel-chair/s168598,"['Douglas Nickel', 'Douglas Lace', 'Icon White', 'Icon Pearl', 'Taft Pearl']",https://cb.scene7.com/is/image/Crate/AxisClsSwvlChairDN3QSSF23_3D/raw/231120180310/axis-classic-swivel-chair.jpg
